mine_fac,mine_other_names,country,state,region,province,district,sector,location_municipality,latitude,longitude,surface_area,unit_surface_area,claim_concession_area,unit_concession_area,mine_or_processing,commodities_products,mining_facility_types,production_start,production_end,activity_status,year_activity_status,certification_scheme,source,source_url,comment,,,,,,,
Pascua-Lama,,Chile,,,,,,,-29.3182746,-70.0132891,,,,,Mine,Gold,,,,,,,Barrick Gold Corporation (2017) Annual Report 2016,https://barrick.q4cdn.com/788666289/files/doc_financials/annual/2016/Barrick-Annual-Report-2016.pdf,,,,,,,,
Fort Knox,,United States,Alaska,,,,,,64.9968601,-147.3607848,,,,,Mine,Gold,Open pit,,,,,,"Kinross Gold (2017) Operations Fort Knox, USA",https://www.kinross.com/operations/default.aspx,,,,,,,,
Paracatu,,Brazil,Paracatu,Gerais,,,,,-17.1808882,-46.8850776,,,,,Mine,Gold,Open pit,,,,,,"Kinross Gold (2017) Operations Paracatu, Brazil",https://www.kinross.com/operations/default.aspx#americas-paracatu,,,,,,,,
Dvoinoye,,Russia,,Chukotka,,,,,67.63892532,169.2058281,,,,,Mine,Gold,Underground,,,,,,"Kinross Gold (2017) Operations Dvoinoye, Russia",https://www.kinross.com/operations/default.aspx#russia-dvoinoye,,,,,,,,
Kupol,,Russia,,Chukotka,,,,,66.7868346,169.5566368,,,,,Mine,"Gold, Silver",Underground,,,,,,"Kinross Gold (2017) Operations Kupol, Russia",https://www.kinross.com/operations/default.aspx#russia-kupol,,,,,,,,
La Coipa,,Chile,,Atacama,,,,,-26.8117553,-69.2684027,,,,,Mine,"Gold, Silver",,,,,,,"Kinross Gold (2017) Projects & Exploration La Coipa, Chile",https://www.kinross.com/operations/default.aspx#exploration-lacoipa,,,,,,,,
Tasiast,,Mauritania,,,,,,,20.5501513,-15.510972,,,,,Mine,Gold,Open pit,,,,,,"Kinross Gold (2017) Operations Tasiast, Mauritania",https://www.kinross.com/operations/default.aspx#africa-tasiast,,,,,,,,
Chirano,,Ghana,,,,,,,6.3112126,-2.3822911,,,,,Mine,"Gold, Silver",Underground,,,,,,"Kinross Gold (2017) Operations Chirano, Ghana",https://www.kinross.com/operations/default.aspx#africa-chirano,,,,,,,,
Maricunga,Refugio,Chile,,,,,,,-27.5516677,-69.2970037,,,,,Mine,Gold,Open pit,,,,,,Kinross Gold (2019) Annual Report 2018,https://s2.q4cdn.com/496390694/files/doc_financials/quarterly_reports/2018/q4/2018-Reserves-and-Resources.pdf,,,,,,,,
Kettle River,Kettle river - Buckhorn,United States,Washington,,,,,,48.67350522,-118.6055836,,,,,Mine,Gold,,,2017,,,,Kinross Gold (2017) Mineral Reserves & Resources Statement 2016 ; Kinross Gold (2019) Annual Report 2018,https://s2.q4cdn.com/496390694/files/doc_downloads/reserves_and_resources/Kinross-Annual-Mineral-Reserve-and-Resource-Statement.pdf ; https://s2.q4cdn.com/496390694/files/doc_financials/annual/2019/2018-Kinross-Annual-Report-Final.pdf,Inactive between november 2005 and 2008,,,,,,,
Fruta del Norte,,Ecuador,,,,,,,-3.834196625,-78.60397932,,,,,Mine,Gold,,,,,,,Kinross Gold (2017) Mineral Reserves & Resources Statement 2012,https://s2.q4cdn.com/496390694/files/doc_downloads/reserves_and_resources/kinross-gold-2012-mineral-reserves-and-resources.pdf,,,,,,,,
Lobo Marte,,Chile,,,,,,,-27.17735941,-69.02809931,,,,,Mine,Gold,,,,,,,Kinross Gold (2017) Mineral Reserves & Resources Statement 2012,https://s2.q4cdn.com/496390694/files/doc_downloads/reserves_and_resources/kinross-gold-2012-mineral-reserves-and-resources.pdf,,,,,,,,
Julietta,,Russia,,,,,,,61.15857908,154.0274424,,,,,Mine,Gold,,,,,,,Kinross Gold (2017) Mineral Reserves & Resources Statement 2007,https://s2.q4cdn.com/496390694/files/doc_downloads/reserves_and_resources/2007-reserve-resource-statements.pdf,,,,,,,,
Iduapriem,,Ghana,,,,,,,5.2426869,-2.043506,,,,,Mine,Gold,Open pit,,,,,,AngloGold Ashanti (2019) Integrated Annual Report 2018,http://www.aga-reports.com/18/download/AGA-IR18.pdf,,,,,,,,
Obuasi,,Ghana,,,,,,,6.172193,-1.6921037,,,,,Mine,Gold,Underground,,,,,,AngloGold Ashanti (2019) Integrated Annual Report 2018,http://www.aga-reports.com/18/download/AGA-IR18.pdf,,,,,,,,
Siguiri,,Guinea,,,,,,,11.55683049,-9.353168561,,,,,Mine,Gold,Open pit,,,,,,AngloGold Ashanti (2019) Integrated Annual Report 2018,http://www.aga-reports.com/18/download/AGA-IR18.pdf,,,,,,,,
Morila,,Mali,,,,,,,11.6809,-6.8468857,,,,,Mine,Gold,,,,,,,AngloGold Ashanti (2019) Integrated Annual Report 2018,http://www.aga-reports.com/18/download/AGA-IR18.pdf,,,,,,,,
Sadiola,,Mali,,,,,,,13.8695281,-11.6470742,,,,,Mine,Gold,,,,,,,AngloGold Ashanti (2019) Integrated Annual Report 2018,http://www.aga-reports.com/18/download/AGA-IR18.pdf,,,,,,,,
Yatela,,Mali,,,,,,,14.08474202,-11.754168,,,,,Mine,Gold,Heap leaching plant,,,,,,AngloGold Ashanti (2019) Integrated Annual Report 2018,http://www.aga-reports.com/18/download/AGA-IR18.pdf,,,,,,,,
Navachab,,Namibia,,,,,,,-21.9838412,15.7658529,,,,,Mine,Gold,,,,,,,AngloGold Ashanti (2019) Integrated Annual Report 2018,http://www.aga-reports.com/18/download/AGA-IR18.pdf,Was sold in 2014 to QKR Corp Ltd. ,,,,,,,
Geita,,Tanzania,,,,,,,-2.8675759,32.1864941,,,,,Mine,Gold,,,,,,,AngloGold Ashanti (2019) Integrated Annual Report 2018,http://www.aga-reports.com/18/download/AGA-IR18.pdf,,,,,,,,
Cerro Vanguardia,,Argentina,,,,,,,-48.3842315,-68.2626647,,,,,Mine,Gold,,,,,,,AngloGold Ashanti (2019) Integrated Annual Report 2018,http://www.aga-reports.com/18/download/AGA-IR18.pdf,,,,,,,,
